vid_id,uploader_name,interval_fromytcreated_toupload,category,video_length,no_of_views,ratings,no_of_ratings,no_of_comments
EL4ggXa1b8w,BunkumBros,740,Entertainment,143,112839,4,150,181
s9Pe-ZJOPv4,Dou7g,893,Entertainment,149,1178,3.75,8,3
RLVeMPIfRJ0,christianpalma,926,Film & Animation,41,32279,4,5,1
PjvWfbxA50E,ShogunIllEmperor,909,Sports,69,69,5,1,1
4UK41qiJRqQ,sxmcguire,719,Entertainment,222,9498,4.2,10,5
u1z2eecaKtc,blauwepiet,1021,Entertainment,88,5134,4.5,10,7
_AKE4MA3b98,naledi81,0, UNA ,54,19678,4.6,10,3
iQ1_lN8I2_c,KelleyH,875,People & Blogs,597,28193,4.42,38,27
UCN4aGwz084,Lucky1406,622,Entertainment,147,34662,4.56,41,29
tWysEQIleN4,dekdog11,815,Music,21,236,5,3,1
CUZDK_WbU78,YOUSUCKProductions,881,Comedy,101,9899,3.87,15,8
RIzEOCxf5b8,GravityEdgeMan,894,Howto & Style,295,8734,5,6,5
E5ai_RQYcUk,NewWarriorMan,937,Entertainment,72,4753,3.33,30,1004
FdqdkVpvZmI,NTDTV,1092,News & Politics,105,1631,4.55,11,2
#NAME?,xMUSICxxMISERYx,832,Entertainment,242,1896,4.43,7,60
MuDZU5cO-FQ,threecheers,974,Entertainment,190,503,5,7,4
j3nQqj-hvKs,Stytched,909,People & Blogs,297,3978,4.13,15,6
6ttdTeoQtH8,tulachan,1004,Music,234,11527,4.86,43,21
CyrObv7Gwe0,Chrisizzle23,1013,Comedy,188,18068,4.89,142,160
wawbaqzMT4M,josh3d2004,1125,Entertainment,58,49909,4.15,96,143
ZUBa0ir71Dc,MitaGema,956,Entertainment,365,32,0,0,0
#NAME?,ernielunati,1085,News & Politics,422,3710,1.67,6,4
YUlITxx5qVw,xxShadowChanxx,658,Film & Animation,271,87343,4.81,450,186
LEi2-oBpjDY,anonymoot333,958,Entertainment,110,66315,4.17,789,723
m1Iqq081wVw,Anonigonz0,1133,Nonprofits & Activism,569,109,5,7,5
dI7jVuR1MPs,scottpricepwnsyou,1134,Entertainment,130,30,0,0,0
AYePc-YeWvk,Cloudtan,1072,Entertainment,49,26865,4.64,98,279
C4TUWH5r_EQ,daixoxo7,1104,Music,222,526,4.67,6,6
AFXhUV-MS7g,hallospacegirl1013,519,Comedy,273,23009,4.82,191,142
s2jo7jQ0aFQ,Lotusama,1093,People & Blogs,499,1600,4.83,53,105
WRxut1xxX3M,josh3d2004,1122,Comedy,177,1970,4.72,29,41
QCj5oYia73A,casiotone1331,940,Comedy,400,35009,4.87,337,315
YadzCETH2rg,VYRALL,1116,Film & Animation,270,272,5,6,2
cvhy03NLR6I,GoldenTotProductions,983,Entertainment,57,1352,4.32,25,44
Rp198k984Yw,itschriscrocker,1122,Entertainment,128,1052410,3.48,12785,18443
qcImZOB-ZLY,Blunty3000,1127,Entertainment,18,34679,3.95,610,530
yGMKgLRU-3c,itschriscrocker,1120,Entertainment,116,1248802,3.33,12827,25155
edLR8fj6roo,itschriscrocker,1116,Comedy,94,1120648,2.47,12716,19161
AhHqU2c7onM,itschriscrocker,1121,Entertainment,75,573473,3.19,6321,7791
eZqaY_9ILj8,jamesthornwielder,1126,Music,309,47869,2.01,360,611
kHmvkRoEowc,itschriscrocker,937,Entertainment,131,18235463,2.42,122129,259683
0wWjZO56fqs,jamesthornwielder,1126,Music,275,16605,1.54,180,220
Ia6kRlhUQ7I,BIGFOOTBUBBA,1102,Entertainment,29,21681,4.46,333,324
OSJjtP_p-Hs,SamTubeCOM,1127,Entertainment,306,9433,5,1,31
kRc-LpdD_Pk,niardan,1125,People & Blogs,22,15258,2.28,184,204
xXiouCrEnG0,itschriscrocker,1113,Entertainment,117,1243037,2.78,10999,16319
Hh3eHxtIGxw,rmerax0r,947,Entertainment,116,1256254,3.65,3251,6628
b0hqh_yRIiA,DarrellLWright,1129,News & Politics,551,750,5,9,7
StWnLxf4qUg,jgarcia19,1130,News & Politics,60,250,4.5,2,12
1wIp8kmZY4w,RidleyReport,1131,News & Politics,335,397,4.88,26,19
o7GX-1oL-qo,SOSOMEE,1130,News & Politics,94,105,5,4,6
NDZ1sgBpS60,obaidkarki,1130,Comedy,199,158,5,10,0
m0UjE32EF1Q,icsclean,1130,News & Politics,600,113,0,0,0
9lM1LhD7-Qw,OSUMercutio,1129,News & Politics,78,1056,4.56,9,47
D-r66nZiu5g,videocafeblog,1129,News & Politics,322,1068,4.67,9,26
yJqLL1_Cu0A,1001BG,1129,News & Politics,113,129,3,2,2
fvlrQuFdOjI,wwlp,1130,News & Politics,87,76,0,0,0
h6Gz1CTZsl4,videocafeblog,1129,News & Politics,213,1788,4.62,8,17
2EAA-5O_TYw,topnewsmakers,1129,News & Politics,28,436,5,5,1
3MHQ90_bRsU,pistileer,1132,News & Politics,402,33,0,0,0
qJYIAVajwqY,wavy,1130,News & Politics,106,27,0,0,0
BUtUAHLLB6U,topnewsmakers,1130,News & Politics,371,235,4,2,13
sd97FFLDKbI,bbcworldnews,1130,News & Politics,73,210,5,3,0
4kB8iOK1gkA,videocafeblog,1130,News & Politics,279,314,4.5,8,2
_lns57U54T0,wesawthat,1129,News & Politics,116,928,4.5,10,35
8uPo_U2Jvhc,jeckhard,1131,Comedy,80,15,0,0,0
